,month,year,vazao
463,6,2004,167.174
464,7,2004,153.784
465,8,2004,142.57399999999996
466,9,2004,134.816
467,10,2004,155.189
468,11,2004,159.53799999999995
469,12,2004,205.205
470,1,2005,265.036
471,2,2005,322.056
472,3,2005,423.741
473,4,2005,278.846
474,5,2005,235.283
475,6,2005,174.43900000000005
476,7,2005,159.124
477,8,2005,147.185
478,9,2005,138.097
479,10,2005,133.142
480,11,2005,165.75599999999997
481,12,2005,212.815
482,1,2006,177.10299999999995
483,2,2006,240.0
484,3,2006,272.10200000000003
485,4,2006,371.004
486,5,2006,217.267
487,6,2006,170.0
488,7,2006,157.154
489,8,2006,145.442
490,9,2006,143.586
491,10,2006,159.741
492,11,2006,211.09
493,12,2006,177.525
494,1,2007,198.465
495,2,2007,393.345
496,3,2007,233.958
497,4,2007,203.443
498,5,2007,171.185
499,6,2007,148.207
500,7,2007,136.68
501,8,2007,129.27
502,9,2007,126.45
503,10,2007,126.016
504,11,2007,141.491
505,12,2007,189.728
506,1,2008,192.142
507,2,2008,275.007
508,3,2008,348.521
509,4,2008,309.597
510,5,2008,191.577
511,6,2008,161.97799999999995
512,7,2008,150.815
513,8,2008,138.855
514,9,2008,129.113
515,10,2008,127.161
516,11,2008,161.159
517,12,2008,236.523
518,1,2009,219.847
519,2,2009,242.111
520,3,2009,247.156
521,4,2009,322.232
522,5,2009,357.288
523,6,2009,198.397
524,7,2009,169.56099999999995
525,8,2009,153.597
526,9,2009,145.05200000000005
527,10,2009,184.274
528,11,2009,184.614
529,12,2009,216.35
530,1,2010,235.054
531,2,2010,204.076
532,3,2010,241.046
533,4,2010,246.381
534,5,2010,162.41
535,6,2010,149.645
536,7,2010,138.528
537,8,2010,130.189
538,9,2010,123.865
539,10,2010,148.595
540,11,2010,185.748
541,12,2010,196.358
542,1,2011,240.158
543,2,2011,300.444
544,3,2011,358.025
545,4,2011,227.293
546,5,2011,180.063
547,6,2011,158.94899999999996
548,7,2011,147.739
549,8,2011,136.655
550,9,2011,126.186
551,10,2011,165.00099999999995
552,11,2011,200.652
553,12,2011,236.441
554,1,2012,246.691
555,2,2012,276.147
556,3,2012,268.568
557,4,2012,206.126
558,5,2012,171.6
559,6,2012,152.032
560,7,2012,139.799
561,8,2012,130.239
562,9,2012,123.908
563,10,2012,121.665
564,11,2012,188.734
565,12,2012,219.09
566,1,2013,302.9840000000001
567,2,2013,210.957
568,3,2013,239.657
569,4,2013,232.736
570,5,2013,170.798
571,6,2013,158.524
572,7,2013,140.072
573,8,2013,129.717
574,9,2013,121.304
575,10,2013,129.41899999999998
576,11,2013,165.563
577,12,2013,279.668
578,1,2014,187.889
579,2,2014,218.849
580,3,2014,250.22
581,4,2014,213.43400000000003
582,5,2014,172.574
583,6,2014,145.989
584,7,2014,134.222
585,8,2014,125.06
586,9,2014,120.162
587,10,2014,121.328
588,11,2014,156.239
589,12,2014,207.976
590,1,2015,169.986
591,2,2015,215.243
592,3,2015,216.419
593,4,2015,198.26
594,5,2015,179.43200000000004
595,6,2015,138.361
596,7,2015,128.62
597,8,2015,120.034
598,9,2015,113.97
599,10,2015,115.558
600,11,2015,128.89600000000002
601,12,2015,132.452
602,1,2016,336.958
603,2,2016,192.773
604,3,2016,169.78599999999997
605,4,2016,151.52100000000004
606,5,2016,126.846
607,6,2016,121.934
608,7,2016,112.883
609,8,2016,108.695
610,9,2016,106.312
611,10,2016,120.365
612,11,2016,137.282
613,12,2016,159.076
614,1,2017,162.85399999999996
615,2,2017,271.357
616,3,2017,217.129
617,4,2017,227.396
618,5,2017,144.60399999999996
619,6,2017,130.76
620,8,2017,113.433
621,9,2017,104.778
622,10,2017,101.777
623,11,2017,137.08100000000002
624,12,2017,173.56099999999995
625,1,2018,170.44799999999995
626,2,2018,246.386
627,3,2018,329.051
628,4,2018,218.924
629,5,2018,147.269
630,6,2018,132.57299999999998
631,7,2018,124.715
632,8,2018,117.239
633,9,2018,110.346
634,10,2018,136.705
