EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
34060000;2;01/01/1967;;1;1;424,179;169,24;223,089;31;17;2;2;2;;0;254,787;248,19;243,29;235,216;227,258;217,863;207,116;201,078;193,638;186,318;179,117;174,855;172,038;172,038;176,271;172,038;169,24;169,24;173,444;183,423;199,581;227,258;241,666;214,769;198,088;210,163;243,29;288,868;347,127;364,325;424,179;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/02/1967;;1;1;525,737;236,822;351,848;1;8;2;2;2;;0;525,737;420,069;418,02;364,325;333,996;269,898;243,29;236,822;249,832;251,479;395,767;385,822;259,783;275,018;393,769;432,45;449,195;522,032;518,329;442,884;287,121;271,6;271,6;313,797;339,597;350,918;341,473;287,121;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;
34060000;2;01/03/1967;;1;1;496,131;232,019;339,108;19;5;2;2;2;;0;264,82;276,733;290,619;243,29;232,019;232,019;246,552;248,19;248,19;249,832;256,448;258,113;254,787;244,919;241,666;249,832;269,898;356,638;496,131;473,975;462,913;470,286;459,228;434,528;413,936;422,122;442,884;455,544;453,423;432,45;430,376;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/04/1967;;1;1;570,272;335,859;434,699;11;30;2;2;2;;0;428,306;428,306;426,24;424,179;426,24;434,528;477,665;492,436;507,225;566,555;570,272;488,741;462,913;451,307;449,195;426,24;403,799;401,784;393,769;395,767;424,179;442,884;462,913;481,356;407,841;368,195;356,638;354,727;350,918;335,859;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/05/1967;;1;1;317,43;180,548;211,278;1;30;2;2;2;;0;317,43;299,444;254,787;249,832;249,832;230,428;222,54;216,314;210,163;207,116;207,116;205,599;205,599;204,087;204,087;204,087;201,078;198,088;198,088;196,6;196,6;195,117;193,638;192,165;187,772;186,318;186,318;184,868;183,423;180,548;180,548;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/06/1967;;1;1;177,692;142,343;161,117;1;30;2;2;2;;0;177,692;176,271;176,271;176,271;176,271;174,855;174,855;173,444;172,038;170,637;169,24;169,24;166,462;165,08;163,703;162,331;160,964;158,245;155,545;150,204;150,204;148,882;147,564;147,564;147,564;146,251;144,944;144,944;143,641;142,343;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/07/1967;;1;1;150,204;138,48;144,291;25;21;2;2;2;;0;144,944;144,944;144,944;144,944;144,944;144,944;143,641;143,641;143,641;142,343;143,641;142,343;142,343;141,05;141,05;141,05;139,763;139,763;139,763;139,763;138,48;138,48;144,944;147,564;150,204;150,204;150,204;150,204;150,204;150,204;148,882;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/08/1967;;1;1;150,204;137,202;144,596;1;27;2;2;2;;0;150,204;150,204;150,204;150,204;150,204;148,882;148,882;148,882;148,882;147,564;147,564;147,564;146,251;146,251;146,251;146,251;144,944;144,944;144,944;144,944;142,343;142,343;141,05;139,763;138,48;138,48;137,202;137,202;137,202;137,202;137,202;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/09/1967;;1;1;162,331;137,202;147,714;13;1;2;2;2;;0;137,202;137,202;137,202;137,202;137,202;137,202;137,202;137,202;138,48;141,05;150,204;158,245;162,331;155,545;158,245;155,545;152,865;144,944;138,48;142,343;144,944;147,564;152,865;155,545;155,545;155,545;155,545;155,545;156,892;155,545;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/10/1967;;1;1;176,271;127,162;146,447;31;6;2;2;2;;0;155,545;155,545;155,545;143,641;134,662;127,162;127,162;132,142;146,251;152,865;160,964;158,245;143,641;134,662;134,662;134,662;134,662;135,93;135,93;138,48;138,48;139,763;139,763;142,343;147,564;152,865;158,245;162,331;167,848;172,038;176,271;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
