,data,vel_m,month,year
4967,2003-07-23,5.0,7,2003
4968,2003-07-24,4.3333330000000005,7,2003
4969,2003-07-25,3.666667,7,2003
4970,2003-07-26,4.3333330000000005,7,2003
4971,2003-07-27,3.666667,7,2003
4972,2003-07-28,2.0,7,2003
4973,2003-07-29,3.0,7,2003
4974,2003-07-30,2.0,7,2003
4975,2003-07-31,2.333333,7,2003
4976,2003-08-01,2.666667,8,2003
4977,2003-08-02,2.0,8,2003
4978,2003-08-03,2.666667,8,2003
4979,2003-08-04,1.666667,8,2003
4980,2003-08-05,1.666667,8,2003
4981,2003-08-06,1.666667,8,2003
4982,2003-08-07,2.0,8,2003
4983,2003-08-08,2.333333,8,2003
4984,2003-08-09,1.333333,8,2003
4985,2003-08-10,1.0,8,2003
4986,2003-08-11,1.666667,8,2003
4987,2003-08-12,1.0,8,2003
4988,2003-08-13,1.666667,8,2003
4989,2003-08-14,2.0,8,2003
4990,2003-08-15,2.333333,8,2003
4991,2003-08-16,1.0,8,2003
4992,2003-08-17,2.666667,8,2003
4993,2003-08-18,3.666667,8,2003
4994,2003-08-19,3.666667,8,2003
4995,2003-08-20,1.666667,8,2003
4996,2003-08-21,1.333333,8,2003
4997,2003-08-22,1.333333,8,2003
4998,2003-08-23,1.0,8,2003
4999,2003-08-24,1.333333,8,2003
5000,2003-08-25,1.0,8,2003
5001,2003-08-26,3.333333,8,2003
5002,2003-08-27,3.666667,8,2003
5003,2003-08-28,3.666667,8,2003
5004,2003-08-29,3.0,8,2003
5005,2003-08-30,3.666667,8,2003
5006,2003-08-31,3.0,8,2003
5007,2003-09-01,3.333333,9,2003
5008,2003-09-02,1.666667,9,2003
5009,2003-09-03,1.666667,9,2003
5010,2003-09-04,2.333333,9,2003
5011,2003-09-05,4.3333330000000005,9,2003
5012,2003-09-06,3.0,9,2003
5013,2003-09-07,2.0,9,2003
5014,2003-09-08,1.666667,9,2003
5015,2003-09-09,2.333333,9,2003
5016,2003-09-10,3.666667,9,2003
5017,2003-09-11,3.333333,9,2003
5018,2003-09-12,3.333333,9,2003
5019,2003-09-13,3.0,9,2003
5020,2003-09-14,1.666667,9,2003
5021,2003-09-15,3.333333,9,2003
5022,2003-09-16,2.333333,9,2003
5023,2003-09-17,1.666667,9,2003
5024,2003-09-18,2.333333,9,2003
5025,2003-09-19,3.666667,9,2003
5026,2003-09-20,2.333333,9,2003
5027,2003-09-21,2.333333,9,2003
5028,2003-09-22,2.333333,9,2003
5029,2003-09-23,3.333333,9,2003
5030,2003-09-24,1.666667,9,2003
5031,2003-09-25,2.666667,9,2003
5032,2003-09-26,3.333333,9,2003
5033,2003-09-27,1.666667,9,2003
5034,2003-09-28,3.0,9,2003
5035,2003-09-29,4.3333330000000005,9,2003
5036,2003-09-30,3.0,9,2003
5037,2003-10-01,3.0,10,2003
5038,2003-10-02,3.666667,10,2003
5039,2003-10-03,3.666667,10,2003
5040,2003-10-04,2.333333,10,2003
5041,2003-10-05,3.0,10,2003
5042,2003-10-06,2.333333,10,2003
5043,2003-10-07,1.666667,10,2003
