Estacao;Data;Hora;DirecaoVento;VelocidadeVento
82678;23/06/2018;1200;14;4.11552;
82678;23/06/2018;1800;14;1.54332;
82678;24/06/2018;0000;14;0.51444;
82678;24/06/2018;1200;9;3.60108;
82678;24/06/2018;1800;9;2.5722;
82678;25/06/2018;0000;0;0;
82678;25/06/2018;1200;14;5.65884;
82678;25/06/2018;1800;14;2.5722;
82678;26/06/2018;0000;0;0;
82678;26/06/2018;1200;14;3.08664;
82678;27/06/2018;0000;18;0.51444;
82678;27/06/2018;1200;18;1.54332;
82678;27/06/2018;1800;14;1.54332;
82678;28/06/2018;0000;0;0;
82678;28/06/2018;1200;18;5.1444;
82678;28/06/2018;1800;14;3.60108;
82678;29/06/2018;0000;0;0;
82678;29/06/2018;1200;14;3.08664;
82678;29/06/2018;1800;14;3.08664;
82678;30/06/2018;0000;0;0;
82678;30/06/2018;1200;14;3.08664;
82678;30/06/2018;1800;0;0;
82678;01/07/2018;0000;18;1.54332;
82678;01/07/2018;1200;14;4.11552;
82678;01/07/2018;1800;14;1.54332;
82678;02/07/2018;0000;0;0;
82678;02/07/2018;1200;14;3.08664;
82678;02/07/2018;1800;14;1.54332;
82678;03/07/2018;0000;18;0.51444;
82678;03/07/2018;1200;5;1.54332;
82678;03/07/2018;1800;14;1.54332;
82678;04/07/2018;0000;0;0;
82678;04/07/2018;1200;14;3.60108;
82678;04/07/2018;1800;14;5.1444;
82678;05/07/2018;0000;14;2.5722;
82678;05/07/2018;1200;18;1.54332;
82678;05/07/2018;1800;0;0;
82678;06/07/2018;0000;0;0;
82678;06/07/2018;1200;14;1.54332;
82678;06/07/2018;1800;14;2.5722;
82678;07/07/2018;0000;14;5.1444;
82678;07/07/2018;1200;14;4.11552;
82678;07/07/2018;1800;14;3.08664;
82678;08/07/2018;0000;14;1.54332;
82678;08/07/2018;1200;14;1.02888;
82678;08/07/2018;1800;14;1.02888;
82678;09/07/2018;0000;18;1.02888;
82678;09/07/2018;1200;14;3.08664;
82678;09/07/2018;1800;14;2.5722;
82678;10/07/2018;0000;0;0;
82678;10/07/2018;1200;9;4.11552;
82678;10/07/2018;1800;9;1.54332;
82678;11/07/2018;0000;9;0.51444;
82678;11/07/2018;1200;36;0.51444;
82678;11/07/2018;1800;23;0.51444;
82678;12/07/2018;0000;14;0.51444;
82678;12/07/2018;1200;5;0.51444;
