Sistema de Informações Hidrológicas,,,,,,,,,,,,,,,,,,,,
Versão Web 3.0,,,,,,,,,,,,,,,,,,,,
© 2018 Agência Nacional de Águas (ANA),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NivelConsistencia: 1 = Bruto, 2 = Consistido,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Restrições da consulta:,,,,,,,,,,,,,,,,,,,,
Código da Estação:34060000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EstacaoCodigo,NivelConsistencia,Data,Hora,NumMedicao,Cota,Vazao,,,,,,,,,,,,,,
34060000,1,31/08/2007,01/01/1900 12:00:00,68,274,130,,,,,,,,,,,,,,
34060000,1,27/03/2007,01/01/1900 13:50:00,69,329,230,,,,,,,,,,,,,,
34060000,1,03/12/2007,01/01/1900 08:50:00,70,330,205,,,,,,,,,,,,,,
34060000,1,29/03/2008,01/01/1900 11:00:00,71,438,423,,,,,,,,,,,,,,
34060000,1,23/07/2008,01/01/1900 13:10:00,72,289,145,,,,,,,,,,,,,,
34060000,1,06/11/2008,01/01/1900 11:00:00,73,272,142,,,,,,,,,,,,,,
34060000,1,28/03/2009,01/01/1900 12:10:00,74,382,317,,,,,,,,,,,,,,
34060000,1,21/07/2009,01/01/1900 11:00:00,75,300,166,,,,,,,,,,,,,,
34060000,1,27/11/2009,01/01/1900 12:30:00,76,299,166,,,,,,,,,,,,,,
34060000,1,04/03/2010,01/01/1900 12:00:00,77,350,258,,,,,,,,,,,,,,
34060000,1,24/09/2010,01/01/1900 12:00:00,78,269,121,,,,,,,,,,,,,,
34060000,1,26/01/2011,01/01/1900 11:15:00,79,370,291,,,,,,,,,,,,,,
34060000,1,19/02/1988,01/01/1900 07:00:00,109,388,319,,,,,,,,,,,,,,
34060000,1,19/02/1988,01/01/1900 07:00:00,110,388,319,,,,,,,,,,,,,,
34060000,1,19/02/1988,01/01/1900 07:00:00,111,388,319,,,,,,,,,,,,,,
34060000,1,13/06/2011,01/01/1900 11:10:00,80,296,163,,,,,,,,,,,,,,
34060000,1,05/09/2011,01/01/1900 11:50:00,81,273,128,,,,,,,,,,,,,,
34060000,1,29/11/2011,01/01/1900 09:50:00,82,351,244,,,,,,,,,,,,,,
34060000,1,19/01/2012,01/01/1900 10:30:00,83,345,244,,,,,,,,,,,,,,
34060000,1,30/05/2012,01/01/1900 10:30:00,84,299,165,,,,,,,,,,,,,,
34060000,1,22/08/2012,01/01/1900 10:00:00,85,274,123,,,,,,,,,,,,,,
34060000,1,24/11/2012,01/01/1900 11:30:00,86,305,176,,,,,,,,,,,,,,
34060000,1,10/06/2013,01/01/1900 12:10:00,87,295,157,,,,,,,,,,,,,,
34060000,1,30/08/2013,01/01/1900 11:30:00,88,271,128,,,,,,,,,,,,,,
34060000,1,28/01/2014,01/01/1900 12:45:00,89,356,268,,,,,,,,,,,,,,
34060000,1,04/06/2014,01/01/1900 11:20:00,90,292,170,,,,,,,,,,,,,,
34060000,1,29/08/2014,01/01/1900 11:00:00,91,269,131,,,,,,,,,,,,,,
34060000,1,16/04/2015,01/01/1900 08:15:00,92,302,174,,,,,,,,,,,,,,
34060000,1,17/07/2015,01/01/1900 10:50:00,93,273,129,,,,,,,,,,,,,,
34060000,1,02/11/2015,01/01/1900 14:45:00,94,274,108,,,,,,,,,,,,,,
34060000,1,28/03/2016,01/01/1900 10:00:00,95,308,179,,,,,,,,,,,,,,
34060000,1,14/07/2016,01/01/1900 11:30:00,96,263,115,,,,,,,,,,,,,,
34060000,2,18/06/1966,01/01/1900 07:00:00,1,268,157,,,,,,,,,,,,,,
34060000,2,18/06/1966,01/01/1900 07:00:00,2,268,154,,,,,,,,,,,,,,
34060000,2,02/07/1966,01/01/1900 07:00:00,3,262,146,,,,,,,,,,,,,,
34060000,2,02/07/1966,01/01/1900 07:00:00,4,262,149,,,,,,,,,,,,,,
34060000,2,22/02/1968,01/01/1900 07:00:00,5,368,330,,,,,,,,,,,,,,
34060000,2,22/02/1968,01/01/1900 07:00:00,6,371,329,,,,,,,,,,,,,,
34060000,2,15/03/1968,01/01/1900 07:00:00,7,379,344,,,,,,,,,,,,,,
34060000,2,15/03/1968,01/01/1900 07:00:00,8,385,340,,,,,,,,,,,,,,
34060000,2,24/03/1968,01/01/1900 07:00:00,9,413,399,,,,,,,,,,,,,,
34060000,2,24/03/1968,01/01/1900 07:00:00,10,411,405,,,,,,,,,,,,,,
34060000,2,24/03/1968,01/01/1900 07:00:00,11,404,387,,,,,,,,,,,,,,
34060000,2,25/03/1968,01/01/1900 07:00:00,12,376,326,,,,,,,,,,,,,,
34060000,2,25/03/1968,01/01/1900 07:00:00,13,374,322,,,,,,,,,,,,,,
34060000,2,25/03/1968,01/01/1900 07:00:00,14,370,318,,,,,,,,,,,,,,
34060000,2,26/03/1968,01/01/1900 07:00:00,15,361,297,,,,,,,,,,,,,,
34060000,2,27/06/1968,01/01/1900 07:00:00,16,277,161,,,,,,,,,,,,,,
34060000,2,27/06/1968,01/01/1900 07:00:00,17,277,168,,,,,,,,,,,,,,
34060000,2,13/06/1969,01/01/1900 07:00:00,18,274,171,,,,,,,,,,,,,,
34060000,2,13/06/1969,01/01/1900 07:00:00,19,274,170,,,,,,,,,,,,,,
34060000,2,16/06/1969,01/01/1900 07:00:00,20,274,163,,,,,,,,,,,,,,
34060000,2,23/06/1969,01/01/1900 07:00:00,21,266,154,,,,,,,,,,,,,,
34060000,2,01/04/1970,01/01/1900 07:00:00,22,292,195,,,,,,,,,,,,,,
34060000,2,01/04/1970,01/01/1900 07:00:00,23,292,189,,,,,,,,,,,,,,
34060000,2,01/04/1970,01/01/1900 07:00:00,24,292,187,,,,,,,,,,,,,,
34060000,2,01/04/1970,01/01/1900 07:00:00,25,292,187,,,,,,,,,,,,,,
